InfosDossier
InfosDossier;Dossier;91944
InfosDossier;Code_Exercice;06
InfosDossier;Nom_Exercice;2006
InfosDossier;Raison sociale;E.A.R.L DUCOM LABASTIDE
InfosDossier;Debut;01/07/2005
InfosDossier;Fin;30/06/2006
InfosDossier;Adresse1;"GRAND BLAYE"
InfosDossier;Adresse2;.
InfosDossier;cp;40500
InfosDossier;ville;FARGUES
InfosDossier;Gestion derog;Faux
5B1;compte;debit;credit
5B1;2313;1000;0
5B2;compte;debit;credit
5B2;2154;327.13;0
6B1;compte;debit;credit
6B1;205;125.53;0
6B1;2121;1016.67;0
6B1;21311;4648.4;0
6B1;2154;16926.91;0
6B1;2461;232.35;0
6B2;compte;debit;credit
6B2;;;0
6A3;compte;debit;credit
6A3;2154;327.13;0
6C4;compte;debit;credit
6C5;compte;debit;credit
Bilan;Compte;Debit_Report;Credit_Report;Debit_base;Credit_base;debit_total;credit_total
Analytique;BONE;Bovin viande naisseur engraisseur;781731;REPR.PROV.DOT.DEPR.BOVINS;0;305;0.00;0.00;0.00;0.00;1;Céréales;1
Analytique;BLE;Blé;601111;ENGRAIS BLE;2911.95;0;102.00;28.55;0.00;0.00;1;Céréales;1.36
Analytique;BLE;Blé;601211;SEMENCE BLE;900.2;0;1 650.00;0.55;0.00;0.00;1;Céréales;1.36
Analytique;BLE;Blé;6013110;PHYTO BLE;1571.62;0;25.00;62.86;0.00;0.00;1;Céréales;1.36
Analytique;BLE;Blé;605111;RECOLTE BLE;550;0;6.88;79.94;0.00;0.00;1;Céréales;1.36
Analytique;BLE;Blé;605211;TRAVAUX BLE;323;0;190.00;1.70;0.00;0.00;1;Céréales;1.36
Analytique;BLE;Blé;6341110;TAXES BLE;44.08;0;288.08;0.15;0.00;0.00;1;Céréales;1.36
Analytique;BLE;Blé;7010110;VENTE BLE;0;3060.08;288.08;10.62;0.00;0.00;1;Céréales;1.36
Analytique;BLE;Blé;708018;CESSION TRITICALE;0;780;90.00;8.67;0.00;0.00;1;Céréales;1.36
Analytique;BLE;Blé;7080181;CESSION PAILLE;0;2110;30 400.00;0.07;0.00;0.00;1;Céréales;1.36
Analytique;BLE;Blé;7134110;V.S BLE TERRE;0;2788.11;0.00;0.00;0.00;0.00;1;Céréales;1.36
Analytique;BLE;Blé;7450110;AIDE BLE;0;1094.17;3.70;295.72;0.00;0.00;1;Céréales;1.36
Stocks;Compte;Désignation;Qté;Prix Unitaire;Décote;Montant HT
Stocks;3014801;NATURAMIX;30;32.22;0;966.69
Stocks;3014801;PAILLE;20;5.95;0;118.92
Stocks;3021;FUEL;500;0.54;0;272
Stocks;3111;BOVINS;106;1191.13;0;126260
Stocks;34110;BLE EN TERRE;1;5394.27;0;5394.27
Stocks;34117;MAIS EN TERRE;1;17722.52;0;17722.52
Stocks;341315;MAIS HUMIDE EN TERRE;1;827.43;0;827.43
Stocks;341315;MAIS ENSIL.EN TERRE;1;2482.29;0;2482.29
Stocks;3415;MAIS TERRE CS;6.4;312.5;0;2000
Stocks;3415;MAIS TERRE CS;34.27;312.84;0;10721
Stocks;3415;BLE TERRE CS;11.25;367.56;0;4135
Stocks;37417;MAIS 05;371.4;11;0;4085.4
Stocks;37801;FOIN;100;80;0;8000
Stocks;37801;HERBE ENRUBANNEE;60;80;0;4800
GLivreQte;Compte;Qt1
GLivreQte;64111;12
GLivreQte;64115;20
